Consulta,Termo de pesquisa,Seção,URL,Título,Resumo,Data
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/ata-n-45-de-5-de-novembro-de-2025-668960737,"ATA Nº 45, DE 5 DE NOVEMBRO DE 2025","críticos e justificar o percentual de reclassificação tarifária adotado para as obras de acesso ao <span class='highlight' style='background:#FFA;'>Porto</span> ... Jose Essiomar Gomes da Silva (889.241.817-34); José Macena da Silva (173.759.757-87); João Batista <span class='highlight' style='background:#FFA;'>Porto</span> ... Meira (219.088/OAB-RJ), Andre Luis Santos Meira (25297/OAB-DF) e outros, representando João Batista <span class='highlight' style='background:#FFA;'>Porto</span> ... Órgão/Entidade: Superintendência Estadual do INSS - <span class='highlight' style='background:#FFA;'>Porto</span> Alegre/RS - INSS/MPS. 5. ... benefícios previdenciários no âmbito da gerência executiva do Instituto Nacional do Seguro Social de <span class='highlight' style='background:#FFA;'>Porto</span> ",14/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/pauta-de-julgamento-668960498,PAUTA DE JULGAMENTO,"transmitidos não atendam à duração e aos requisitos previstos, respectivamente, no art. 11, e no art. 12 da <span class='highlight' style='background:#FFA;'>Portaria</span> de julgamento dos recursos da 2ª Turma Ordinária da 1ª Câmara da 1ª Seção, em sessões síncronas presenciais ou híbridas a serem realizadas nas datas a seguir mencionadas, no Setor Comercial Sul, Quadra 01, Bloco J, Edifício Alv...",14/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/ato-declaratorio-executivo-drf/bhe/mg-n-157-de-13-de-novembro-de-2025-668960419,"ATO DECLARATÓRIO EXECUTIVO DRF/BHE/MG Nº 157, DE 13 DE NOVEMBRO DE 2025","do art. 299 do Regimento Interno da Secretaria Especial da Receita Federal do Brasil, aprovado pela <span class='highlight' style='background:#FFA;'>Portaria</span> ra a inscrição de Pessoa Jurídica no Registro Especial para engarrafador de bebidas alcoólicas. A DELEGADA ADJUNTA DA DELEGACIA DA RECEITA FEDERAL DO BRASIL EM BELO HORIZONTE/MG, no uso das atribuições que lhe conferem o inciso III do a...",14/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/deliberacao-n-1.217-de-23-de-outubro-de-2025-668960338,"DELIBERAÇÃO Nº 1.217, DE 23 DE OUTUBRO DE 2025","DELIBERAÇÃO Nº 1.217, DE 23 DE OUTUBRO DE 2025 Os Membros da Comissão Nacional de Segurança Pública nos <span class='highlight' style='background:#FFA;'>Portos</span> ... Oficial da União e os registros aplicáveis, informando a Comissão Estadual de Segurança Pública nos <span class='highlight' style='background:#FFA;'>Portos</span> ... ALVES DOS SANTOS JOÃO SIMÕES p/Ministério da Fazenda EDIGAR JUNIO DA SILVA MARTINS p/Ministério dos <span class='highlight' style='background:#FFA;'>Portos</span> ",14/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/despacho-sdl-anp-n-1.578-de-13-de-novembro-de-2025-668959923,"DESPACHO SDL-ANP Nº 1.578, DE 13 DE NOVEMBRO DE 2025","PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP, no uso das atribuições que lhe foram conferidas pela <span class='highlight' style='background:#FFA;'>Portaria</span> DESPACHO SDL-ANP Nº 1.578, DE 13 DE NOVEMBRO DE 2025 O SUPERINTENDENTE ADJUNTO DE DISTRIBUIÇÃO E LOGÍSTICA DA AGÊNCIA NACIONAL DO PETRÓLEO, GÁS NATURAL E BIOCOMBUSTÍVEIS - ANP, no uso das atribuições que lhe foram conferidas pela Portar...",14/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/resolucao-conter-n-13-de-12-de-novembro-de-2025-668959688,"RESOLUÇÃO CONTER Nº 13, DE 12 DE NOVEMBRO DE 2025","obtenção do Certificado de Proficiência em Língua Portuguesa para Estrangeiros (CELPE- BRAS), conforme <span class='highlight' style='background:#FFA;'>Portarias</span> põe Sobre A Inscrição dos Técnicos e Tecnólogos Em Radiologia Estrangeiros e Brasileiros Com Formação No Exterior - Revoga A Resolução Conter nº 06/2002 e Dá Outras Providências. O Conselho Nacional de Técnicos em Radiologia (CONTER...",14/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/pauta-de-julgamento-668959283,PAUTA DE JULGAMENTO,"transmitidos não atendam à duração e aos requisitos previstos, respectivamente, no art. 11, e no art. 12 da <span class='highlight' style='background:#FFA;'>Portaria</span> ... para o julgamento dos itens da coluna ITENS REPETITIVOS da tabela, nos termos do § 3º do art. 87 da <span class='highlight' style='background:#FFA;'>Portaria</span> Reunião de 24 a 27/11/2025 Pauta ordinária de julgamento d...",14/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/ato-declaratorio-executivo-eqben/deleben/srrf08/rfb-n-1.542-de-13-de-novembro-de-2025-668959204,"ATO DECLARATÓRIO EXECUTIVO EQBEN/DELEBEN/SRRF08ª/RFB Nº 1.542, DE 13 DE NOVEMBRO DE 2025","da Lei nº 10.593, de 6 de dezembro de 2002 (Redação dada pela Lei nº 11.457, de 2007), o art. 8º da <span class='highlight' style='background:#FFA;'>Portaria</span> ... RFB nº 372, de 26 de outubro de 2023, e os art. 2º e 4º da <span class='highlight' style='background:#FFA;'>Portaria</span> RFB nº 114, de 27 de janeiro de ... do art. 303 do Regimento Interno da Secretaria Especial da Receita Federal do Brasil, aprovado pela <span class='highlight' style='background:#FFA;'>Portaria</span> ",14/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/ato-declaratorio-executivo-alf/foz-n-6-de-13-de-novembro-de-2025-668959123,"ATO DECLARATÓRIO EXECUTIVO ALF/FOZ Nº 6, DE 13 DE NOVEMBRO DE 2025","artigos 298 e 360 do Regimento Interno da Secretaria Especial da Receita Federal do Brasil, aprovado pela <span class='highlight' style='background:#FFA;'>Portaria</span> da Ponte da Integração, na fronteira do Brasil com o Paraguai, em Foz do Iguaçu/PR. O DELEGADO DA ALFÂNDEGA DA RECEITA FEDERAL DO BRASIL EM FOZ DO IGUAÇU, no uso das atribuições que lhe conferem os artigos 298 e 360 do Regimento ...",14/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/despacho-n-3.343-de-11-de-novembro-de-2025-668958965,"DESPACHO Nº 3.343, DE 11 DE NOVEMBRO DE 2025","de Fiscalização Econômica, Financeira e de Mercado, de modo a revogar a autorização concedida pela <span class='highlight' style='background:#FFA;'>Portaria</span> e o que consta do Processo nº 48500.903454/2024-11, decide: por manter o Termo de Intimação nº 18/2025, lavrado pela Superintendência de Fiscalização Econômica, Financeira e de Mercado, de modo a revogar a autorização concedida pela Por...",14/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/resolucao-re-n-4.555-de-13-de-novembro-de-2025-668958728,"RESOLUÇÃO-RE Nº 4.555, DE 13 DE NOVEMBRO DE 2025","Empresa de Medicamentos e de Insumos Farmacêuticos, constante no anexo desta Resolução, de acordo com a <span class='highlight' style='background:#FFA;'>Portaria</span> do ao art. 203, I, §1° do Regimento Interno aprovado pela Resolução da Diretoria Colegiada - RDC n° 585, de 10 de dezembro de 2021, resolve: Art. 1º. Conceder Autorização Especial para Empresa de Medicamentos e de Insumos Farmacêuti...",14/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/resolucao-n-3-de-13-de-novembro-de-2025-668958408,"RESOLUÇÃO Nº 3, DE 13 DE NOVEMBRO DE 2025","NACIONAL DE SEGURANÇA ALIMENTAR E NUTRICIONAL, no uso das atribuições que lhe conferem o art. 11 da <span class='highlight' style='background:#FFA;'>Portaria</span> nº 192 de 02 de setembro de 2025, resolve: Art. 1º Ficam homologadas as adesões dos Bancos de Alimentos relacionados a seguir à Rede Brasileira de Bancos de Alimentos (RBBA). Nº UF MUNICÍPIO CLASSIFICAÇÃO CNPJ PROCESSO 1 SP São Manuel ...",14/11/2025
Teste DOU,portaria,DOU - Seção 1,http://www.in.gov.br/web/dou/-/pauta-de-julgamento-668958329,PAUTA DE JULGAMENTO,"transmitidos não atendam à duração e aos requisitos previstos, respectivamente, no art. 11, e no art. 12 da <span class='highlight' style='background:#FFA;'>Portaria</span> ... para o julgamento dos itens da coluna ITENS REPETITIVOS da tabela, nos termos do § 3º do art. 87 da <span class='highlight' style='background:#FFA;'>Portaria</span> Reunião de 24 a 27/11/2025 Pauta ordinária de julgamento d...",14/11/2025
